fid, median_aud_2011_12, median_age_of_earners_years_2014_15, gccsa_code, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_aud_2013_14, median_age_of_earners_years_2017_18, sum_aud_2014_15, median_aud_2015_16, earners_persons_2011_12, mean_aud_2013_14, median_age_of_earners_years_2016_17, median_aud_2016_17, median_age_of_earners_years_2015_16, main_source_pc_of_earners_2016_17, main_source_pc_of_earners_2017_18, mean_aud_2011_12, mean_aud_2012_13, median_aud_2017_18, earners_persons_2015_16, main_source_pc_of_earners_2013_14, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, median_age_of_earners_years_2011_12, earners_persons_2012_13, median_aud_2012_13, mean_aud_2014_15, main_source_pc_of_earners_2012_13, main_source_pc_of_earners_2015_16, sum_aud_2015_16, mean_aud_2017_18, main_source_pc_of_earners_2014_15, earners_persons_2014_15, main_source_pc_of_earners_2011_12, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, gccsa_name, sum_aud_2017_18
1,39746.0,41.0,"1RNSW",6.7619201147E10,5.3598158457E10,43003.0,41.0,41.0,41890.0,40.0,6.256381029E10,44656.0,1132531.0,49957.0,41.0,45289.0,41.0,74.4,75.1,47326.0,48865.0,47253.0,1224129.0,74.5,1176556.0,53261.0,5.6529378828E10,52872.0,40.0,1156847.0,40907.0,51230.0,74.3,74.1,6.4722089517E10,55260.0,73.9,1221237.0,74.4,1291172.0,1269578.0,5.8776655983E10,"Rest of NSW",7.1350486839E10
0,45927.0,38.0,"1GSYD",1.7996686916E11,1.2904125263E11,50085.0,38.0,38.0,48653.0,37.0,1.61450590499E11,51814.0,2234474.0,61657.0,37.0,52208.0,37.0,78.7,79.2,57750.0,59746.0,54123.0,2587128.0,78.6,2387527.0,66665.0,1.38088567023E11,66172.0,38.0,2311268.0,47355.0,63754.0,78.5,78.3,1.71196490098E11,69124.0,78.2,2532382.0,78.7,2763209.0,2699552.0,1.47207755347E11,"Greater Sydney",1.91004817039E11
3,37962.0,41.0,"2RVIC",3.5327251192E10,2.7346048347E10,41269.0,41.0,41.0,40044.0,41.0,3.2223441324E10,42664.0,624610.0,46407.0,41.0,43648.0,41.0,73.5,74.2,43781.0,45257.0,45571.0,676938.0,73.3,648913.0,50530.0,2.873836589E10,49379.0,41.0,635001.0,39090.0,47841.0,73.1,73.0,3.3426766693E10,52555.0,72.8,673551.0,73.3,713440.0,699131.0,3.0114193003E10,"Rest of Vic.",3.7494669098E10
2,43856.0,38.0,"2GMEL",1.48549146608E11,1.08104352485E11,47335.0,38.0,38.0,45961.0,37.0,1.32662145052E11,48878.0,2044031.0,55814.0,37.0,49696.0,38.0,77.3,77.9,52888.0,54432.0,51472.0,2351764.0,77.6,2184620.0,60711.0,1.1502172636E11,59573.0,38.0,2113111.0,44999.0,57571.0,77.6,77.0,1.40101404891E11,62976.0,77.0,2304322.0,77.9,2525008.0,2446838.0,1.2193221848E11,"Greater Melbourne",1.5901508195E11
4,44999.0,37.0,"3GBRI",7.5816805442E10,5.8878054652E10,48600.0,37.0,37.0,47455.0,37.0,7.0388176117E10,49942.0,1091885.0,57297.0,37.0,50470.0,37.0,80.1,80.7,53923.0,55891.0,52150.0,1215444.0,80.7,1146079.0,60272.0,6.2677650849E10,59841.0,37.0,1121418.0,46370.0,58584.0,80.7,80.0,7.2733163137E10,62098.0,80.1,1201483.0,81.0,1289307.0,1257912.0,6.5667119799E10,"Greater Brisbane",8.0062799186E10
5,40093.0,39.0,"3RQLD",6.7103639413E10,5.4408427728E10,43472.0,39.0,39.0,42584.0,39.0,6.4973464871E10,44593.0,1116744.0,52468.0,39.0,44987.0,39.0,76.2,77.1,48721.0,51246.0,46695.0,1200063.0,77.1,1172283.0,53963.0,5.9027242067E10,54057.0,38.0,1151852.0,41674.0,53401.0,76.8,76.0,6.4871276451E10,55713.0,76.4,1216716.0,76.8,1272044.0,1243513.0,6.1507546911E10,"Rest of Qld",7.0869298381E10
7,37191.0,42.0,"4RSAU",8.045490906E9,6.810833219E9,40170.0,42.0,41.0,39134.0,42.0,7.845597041E9,41275.0,160123.0,45358.0,42.0,41740.0,42.0,70.4,71.4,42535.0,44195.0,43482.0,164258.0,70.9,165466.0,47527.0,7.179505497E9,47336.0,41.0,162452.0,38198.0,46482.0,70.7,70.5,7.775374221E9,49209.0,70.2,168789.0,70.7,170796.0,169283.0,7.505138408E9,"Rest of SA",8.404730168E9
6,43052.0,39.0,"4GADE",3.6223012922E10,2.93440708E10,46688.0,39.0,39.0,45541.0,39.0,3.4370506183E10,48066.0,596663.0,52285.0,39.0,48792.0,40.0,75.6,76.1,49180.0,50978.0,50518.0,636195.0,76.5,622764.0,55967.0,3.1053927224E10,55131.0,39.0,609162.0,44430.0,53725.0,76.5,75.3,3.5073900951E10,57779.0,75.8,639749.0,76.5,659170.0,647216.0,3.256113983E10,"Greater Adelaide",3.8086024888E10
8,47977.0,37.0,"5GPER",7.1647267621E10,5.8601520233E10,52963.0,37.0,37.0,51815.0,38.0,7.398898113E10,53727.0,968575.0,65877.0,38.0,53159.0,38.0,77.9,78.5,60503.0,64270.0,55007.0,1076896.0,79.5,1054024.0,66510.0,6.6073671482E10,67733.0,37.0,1028069.0,50453.0,67557.0,79.5,78.1,7.2941688216E10,68398.0,78.9,1095210.0,79.1,1080295.0,1077240.0,6.9436457626E10,"Greater Perth",7.388951659E10
9,43410.0,39.0,"5RWAU",1.5857134211E10,1.3546791953E10,47548.0,39.0,39.0,46457.0,40.0,1.6392955198E10,48501.0,243596.0,59845.0,40.0,47775.0,40.0,75.2,75.9,55612.0,58604.0,49265.0,260784.0,76.2,259832.0,60084.0,1.4932058316E10,61685.0,39.0,254798.0,45452.0,61267.0,76.2,75.2,1.6086576097E10,61253.0,75.5,267568.0,76.0,264615.0,263918.0,1.5549611739E10,"Rest of WA",1.6208438438E10
10,41600.0,40.0,"6GHOB",6.085605296E9,4.832765348E9,45420.0,40.0,40.0,44200.0,39.0,5.62796946E9,46800.0,102784.0,50073.0,40.0,47230.0,40.0,77.0,77.1,47019.0,48813.0,48423.0,110477.0,77.2,105298.0,53241.0,5.04310384E9,52621.0,40.0,103315.0,42917.0,51298.0,77.2,76.6,5.81336274E9,54597.0,76.9,109712.0,77.5,117223.0,114304.0,5.272594931E9,"Greater Hobart",6.400024461E9
11,37598.0,42.0,"6RTAS",6.574681E9,5.43890277E9,40912.0,42.0,42.0,39636.0,42.0,6.207136218E9,42024.0,128134.0,45303.0,42.0,42623.0,42.0,76.6,77.2,42447.0,44252.0,44200.0,133285.0,77.0,129384.0,48124.0,5.665893539E9,47667.0,41.0,128037.0,38780.0,46527.0,76.7,76.4,6.353360988E9,49697.0,76.4,133410.0,76.8,139538.0,136621.0,5.861450871E9,"Rest of Tas.",6.93455846E9
13,41999.0,38.0,"7RNTE",2.176567948E9,1.653719302E9,45162.0,38.0,38.0,44080.0,37.0,1.939869943E9,48334.0,34209.0,50814.0,37.0,45659.0,38.0,91.1,91.3,48342.0,50051.0,47557.0,35333.0,90.9,36136.0,52891.0,1.76219215E9,54777.0,37.0,35208.0,43341.0,51789.0,90.6,90.6,1.935442925E9,54755.0,90.3,37457.0,90.5,41501.0,41152.0,1.836227799E9,"Rest of NT",2.272391909E9
12,51851.0,36.0,"7GDAR",6.433070063E9,4.372978638E9,58731.0,35.0,36.0,56619.0,37.0,6.127192859E9,60821.0,77063.0,63295.0,36.0,60437.0,36.0,87.7,88.0,56746.0,59989.0,62379.0,89314.0,88.3,87606.0,69962.0,4.948514653E9,69845.0,36.0,82491.0,54214.0,66627.0,87.7,87.5,6.238152009E9,71958.0,87.9,91962.0,87.1,91792.0,91951.0,5.54502133E9,"Greater Darwin",6.605213443E9
14,57723.0,38.0,"8ACTE",1.6976565505E10,1.3031962773E10,62618.0,37.0,37.0,61370.0,37.0,1.5507023249E10,64901.0,208327.0,66764.0,37.0,64654.0,38.0,78.8,79.0,62555.0,64734.0,66505.0,228371.0,79.6,218325.0,71250.0,1.3943170615E10,71292.0,37.0,215393.0,59755.0,68084.0,79.9,78.5,1.6281087014E10,73137.0,78.8,227764.0,80.0,243386.0,238266.0,1.4576303814E10,"Australian Capital Territory",1.7800443607E10
